doc_id,source,title,topic,text
GS2_2022_HistoricalUnderpinnings_1,pyq,GS-II 2022 Q1,"HISTORICAL UNDERPINNINGS & EVOLUTION; FEATURES, AMENDMENTS, SIGNIFICANT PROVISIONS, BASIC STRUCTURE; COMPARISON OF INDIAN CONSTITUTIONAL SCHEME WITH OTHER COUNTRIES'","""The most significant achievement of modern law in India is the constitutionalization of environmental problems by the Supreme Court."" Discuss this statement with the help of relevant case laws."
GS2_2022_HistoricalUnderpinnings_2,pyq,GS-II 2022 Q2,"HISTORICAL UNDERPINNINGS & EVOLUTION; FEATURES, AMENDMENTS, SIGNIFICANT PROVISIONS, BASIC STRUCTURE; COMPARISON OF INDIAN CONSTITUTIONAL SCHEME WITH OTHER COUNTRIES'","""Right of movement and residence throughout the territory of India are freely available to the Indian citizens, but these rights are not absolute"". Comment."
GS2_2022_HistoricalUnderpinnings_3,pyq,GS-II 2022 Q3,"HISTORICAL UNDERPINNINGS & EVOLUTION; FEATURES, AMENDMENTS, SIGNIFICANT PROVISIONS, BASIC STRUCTURE; COMPARISON OF INDIAN CONSTITUTIONAL SCHEME WITH OTHER COUNTRIES'",Critically examine the procedures through which the presidents of India and France are elected.
GS2_2021_HistoricalUnderpinnings_4,pyq,GS-II 2021 Q4,"HISTORICAL UNDERPINNINGS & EVOLUTION; FEATURES, AMENDMENTS, SIGNIFICANT PROVISIONS, BASIC STRUCTURE; COMPARISON OF INDIAN CONSTITUTIONAL SCHEME WITH OTHER COUNTRIES'",'Constitutional Morality' is rooted in the Constitution itself and is founded on its essential facets. Explain the doctrine of 'Constitutional Morality' with the help of relevant judicial decisions.
GS2_2021_HistoricalUnderpinnings_5,pyq,GS-II 2021 Q5,"HISTORICAL UNDERPINNINGS & EVOLUTION; FEATURES, AMENDMENTS, SIGNIFICANT PROVISIONS, BASIC STRUCTURE; COMPARISON OF INDIAN CONSTITUTIONAL SCHEME WITH OTHER COUNTRIES'",Analyze the distinguishing features of the notion of Equality in the Constitutions of the USA and India.
GS2_2020_HistoricalUnderpinnings_6,pyq,GS-II 2020 Q6,"HISTORICAL UNDERPINNINGS & EVOLUTION; FEATURES, AMENDMENTS, SIGNIFICANT PROVISIONS, BASIC STRUCTURE; COMPARISON OF INDIAN CONSTITUTIONAL SCHEME WITH OTHER COUNTRIES'","Indian constitution exhibits centralizing tendencies to maintain unity and integrity of the nation. Elucidate in the perspective of the Epidemic Diseases Act, 1897; The Disaster Management Act, 2005 and recently passed Farm Acts."
GS2_2020_HistoricalUnderpinnings_7,pyq,GS-II 2020 Q7,"HISTORICAL UNDERPINNINGS & EVOLUTION; FEATURES, AMENDMENTS, SIGNIFICANT PROVISIONS, BASIC STRUCTURE; COMPARISON OF INDIAN CONSTITUTIONAL SCHEME WITH OTHER COUNTRIES'",Which steps are required for constitutionalization of a commission? Do you think imparting constitutionality to the National Commission for Women would ensure greater gender justice and empowerment in India? Give reasons.
GS2_2020_HistoricalUnderpinnings_8,pyq,GS-II 2020 Q8,"HISTORICAL UNDERPINNINGS & EVOLUTION; FEATURES, AMENDMENTS, SIGNIFICANT PROVISIONS, BASIC STRUCTURE; COMPARISON OF INDIAN CONSTITUTIONAL SCHEME WITH OTHER COUNTRIES'",The judicial systems in India and UK seem to be converging as well as diverging in the recent times. Highlight the key points of convergence and divergence between the two nations in terms of their judicial practices.
GS2_2019_HistoricalUnderpinnings_9,pyq,GS-II 2019 Q9,"HISTORICAL UNDERPINNINGS & EVOLUTION; FEATURES, AMENDMENTS, SIGNIFICANT PROVISIONS, BASIC STRUCTURE; COMPARISON OF INDIAN CONSTITUTIONAL SCHEME WITH OTHER COUNTRIES'","""Parliament's power to amend the Constitution is a limited power and it cannot be enlarged into absolute power."" In the light of this statement explain whether Parliament under Article 368 of the Constitution can destroy the Basic Structure of the Constitution by expanding its amending power?"
GS2_2019_HistoricalUnderpinnings_10,pyq,GS-II 2019 Q10,"HISTORICAL UNDERPINNINGS & EVOLUTION; FEATURES, AMENDMENTS, SIGNIFICANT PROVISIONS, BASIC STRUCTURE; COMPARISON OF INDIAN CONSTITUTIONAL SCHEME WITH OTHER COUNTRIES'",What can France learn from the Indian Constitution's approach to secularism?
GS2_2018_HistoricalUnderpinnings_11,pyq,GS-II 2018 Q11,"HISTORICAL UNDERPINNINGS & EVOLUTION; FEATURES, AMENDMENTS, SIGNIFICANT PROVISIONS, BASIC STRUCTURE; COMPARISON OF INDIAN CONSTITUTIONAL SCHEME WITH OTHER COUNTRIES'",India and USA are two large democracies. Examine the basic tenants on which the two political systems are based.
