question,topic,knowledge_topic,relevant_doc_ids
Discuss the role of the Vice –Presidents of India as the chairman of the Rajyasabha.,"EXECUTIVE (STRUCTURE, ORGANIZATION, FUNCTIONING); MINISTRIES AND DEPARTMENTS (OF UNION AND STATE GOVTS.)",President,GS2_2022_Executive_1;ART_63;ART_89;ART_64;ART_52
Discuss the essential conditions for the exercise of the legislative powers by the Governor. Discuss the legality of re-promulgation of ordinances by the Governor without placing them before the Legislature.,"EXECUTIVE (STRUCTURE, ORGANIZATION, FUNCTIONING); MINISTRIES AND DEPARTMENTS (OF UNION AND STATE GOVTS.)",Governor,GS2_2022_Executive_2;ART_213;ART_239B;ART_357;ART_123
Instances of President's delay in commuting death sentences has come under public debate as denial of justice. Should there be a time limit specified for the President to accept/reject such petitions? Analyse.,"EXECUTIVE (STRUCTURE, ORGANIZATION, FUNCTIONING); MINISTRIES AND DEPARTMENTS (OF UNION AND STATE GOVTS.)",President,GS2_2014_Executive_3;ART_72;ART_356;ART_161;ART_108
The size of the cabinet should be as big as governmental work justifies and as big as the Prime Minister can manage as a team. How far the efficacy of a government then is inversely related to the size of the cabinet? Discuss.,"EXECUTIVE (STRUCTURE, ORGANIZATION, FUNCTIONING); MINISTRIES AND DEPARTMENTS (OF UNION AND STATE GOVTS.)",Prime Minister,GS2_2014_Executive_4;NOTE_003;ART_75;NOTE_004;ART_78
"Discuss the procedures to decide the disputes arising out of the election of a Member of the Parliament or State Legislature under The Representation of the People Act, 1951. What are the grounds on which the election of any returned candidate may be declared void? What remedy is available to the aggrieved party against the decision? Refer to the case laws.","UNION AND STATE LEGISLATURES (STRUCTURE, FUNCTIONING, CONDUCT OF BUSINESS, POWERS & PRIVILEGES; ISSUES THEREIN); SALIENT FEATURES OF THE REPRESENTATION OF PEOPLE'S ACT.",Parliament,GS2_2022_UnionAnd_1;GS2_2019_UnionAnd_11;ART_71;GS2_2020_UnionAnd_9;GS2_2017_UnionAnd_14
"""While the national political parties in India favour centralisation, the regional parties are in favour of state autonomy."" Comment.","UNION AND STATE LEGISLATURES (STRUCTURE, FUNCTIONING, CONDUCT OF BUSINESS, POWERS & PRIVILEGES; ISSUES THEREIN); SALIENT FEATURES OF THE REPRESENTATION OF PEOPLE'S ACT.",Parliament,GS2_2022_UnionAnd_2;GS2_2016_UnionAnd_17;GS2_2019_EffectOf_8;GS2_2019_Functions_3;GS2_2014_Functions_12
Discuss the role of the Election Commission of India in light of the evolution of the Model Code of Conduct.,"UNION AND STATE LEGISLATURES (STRUCTURE, FUNCTIONING, CONDUCT OF BUSINESS, POWERS & PRIVILEGES; ISSUES THEREIN); SALIENT FEATURES OF THE REPRESENTATION OF PEOPLE'S ACT.",Election Commission,GS2_2022_UnionAnd_3;NOTE_019;GS2_2017_UnionAnd_15;GS2_2018_UnionAnd_13;ART_324
"To what extent, in your view, the Parliament is able to ensure accountability of the executive in India?","UNION AND STATE LEGISLATURES (STRUCTURE, FUNCTIONING, CONDUCT OF BUSINESS, POWERS & PRIVILEGES; ISSUES THEREIN); SALIENT FEATURES OF THE REPRESENTATION OF PEOPLE'S ACT.",Parliament,GS2_2021_UnionAnd_4;ART_256;ART_73;NOTE_005;GS2_2014_AppointmentTo_14
Explain the constitutional provisions under which Legislative Councils are established. Review the working and current status of Legislative Councils with suitable illustrations.,"UNION AND STATE LEGISLATURES (STRUCTURE, FUNCTIONING, CONDUCT OF BUSINESS, POWERS & PRIVILEGES; ISSUES THEREIN); SALIENT FEATURES OF THE REPRESENTATION OF PEOPLE'S ACT.",Parliament,GS2_2021_UnionAnd_5;ART_169;ART_171;ART_170;ART_187
Do Department-related Parliamentary Standing Committees keep the administration on its toes and inspire reverence for parliamentary control? Evaluate the working of such committees with suitable examples.,"UNION AND STATE LEGISLATURES (STRUCTURE, FUNCTIONING, CONDUCT OF BUSINESS, POWERS & PRIVILEGES; ISSUES THEREIN); SALIENT FEATURES OF THE REPRESENTATION OF PEOPLE'S ACT.",Parliament,GS2_2021_UnionAnd_6;GS2_2018_UnionAnd_12;NOTE_005;ART_105;ART_194
