question,topic,Recall@5,Recall@10,Precision@5,MRR
Discuss the role of the Vice –Presidents of India as the chairman of the Rajyasabha.,President,0.8,1.0,0.8,1.0
Discuss the essential conditions for the exercise of the legislative powers by the Governor. Discuss the legality of re-promulgation of ordinances by the Governor without placing them before the Legislature.,Governor,0.6,0.6,0.6,1.0
Instances of President's delay in commuting death sentences has come under public debate as denial of justice. Should there be a time limit specified for the President to accept/reject such petitions? Analyse.,President,0.6,0.8,0.6,1.0
The size of the cabinet should be as big as governmental work justifies and as big as the Prime Minister can manage as a team. How far the efficacy of a government then is inversely related to the size of the cabinet? Discuss.,Prime Minister,0.8,1.0,0.8,1.0
"Discuss the procedures to decide the disputes arising out of the election of a Member of the Parliament or State Legislature under The Representation of the People Act, 1951. What are the grounds on which the election of any returned candidate may be declared void? What remedy is available to the aggrieved party against the decision? Refer to the case laws.",Parliament,0.8,0.8,0.8,1.0
"""While the national political parties in India favour centralisation, the regional parties are in favour of state autonomy."" Comment.",Parliament,0.4,0.4,0.4,1.0
Discuss the role of the Election Commission of India in light of the evolution of the Model Code of Conduct.,Election Commission,0.6,0.6,0.6,1.0
"To what extent, in your view, the Parliament is able to ensure accountability of the executive in India?",Parliament,0.6,0.8,0.6,1.0
Explain the constitutional provisions under which Legislative Councils are established. Review the working and current status of Legislative Councils with suitable illustrations.,Parliament,0.4,0.6,0.4,1.0
Do Department-related Parliamentary Standing Committees keep the administration on its toes and inspire reverence for parliamentary control? Evaluate the working of such committees with suitable examples.,Parliament,0.8,1.0,0.8,1.0
Rajya Sabha has been transformed from a 'useless stepney tyre' to the most useful supporting organ in past few decades. Highlight the factors as well as the areas in which this transformation could be visible.,Parliament,0.6,0.6,0.6,1.0
"""Once a speaker, Always a speaker'! Do you think the practice should be adopted to impart objectivity to the office of the Speaker of Lok Sabha? What could be its implications for the robust functioning of parliamentary business in India.",Parliament,0.4,1.0,0.4,1.0
"""There is a need for simplification of procedure for disqualification of persons found guilty of corrupt practices under the Representation of peoples Act"" Comment",Parliament,0.8,0.8,0.8,1.0
"Individual Parliamentarian's role as the national lawmaker is on a decline, which in turn, has adversely impacted the quality of debates and their outcome. Discuss.",Parliament,0.4,0.4,0.4,1.0
"On what grounds a people's representative can be disqualified under the Representation of People Act, 1951? Also mention the remedies available to such person against his disqualification.",Parliament,0.8,1.0,0.8,1.0
"Why do you think the committees are considered to be useful for parliamentary work? Discuss, in this context, the role or the Estimates Committee.",Parliament,0.6,0.8,0.6,1.0
"In the light of recent controversy regarding the use of Electronic Voting Machines (EVM), what are the challenges before the Election Commission of India to ensure the trustworthiness of elections in India?",Election Commission,0.8,0.8,0.8,1.0
'Simultaneous election to the Lok Sabha and the State Assemblies will limit the amount of time and money spent in electioneering but it will reduce the government's accountability to the people' Discuss.,Parliament,0.6,0.8,0.6,1.0
To enhance the quality of democracy in India the Election Commission of India has proposed electoral reforms in 2016. What are the suggested reforms and how far are they significant to make democracy successful?,Election Commission,0.6,1.0,0.6,1.0
"The Indian Constitution has provisions for holding joint session of the two houses of the Parliament. Enumerate the occasions when this would normally happen and also the occasions when it cannot, with reasons thereof.",Parliament,0.6,0.6,0.6,1.0
"The Indian party system is passing through a phase of transition which looks to be full of contradictions and paradoxes."" Discuss.",Parliament,0.2,0.6,0.2,1.0
"The 'Powers, Privileges and Immunities of Parliament and its Members' as envisaged in Article 105 of the Constitution leave room for a large number of un-codified and un-enumerated privileges to continue. Assess the reasons for the absence of legal codification of the 'parliamentary privileges. How can this problem be addressed?",Parliament,0.4,0.8,0.4,1.0
"The role of individual MPs (Members of Parliament) has diminished over the years and as a result healthy constructive debates on policy issues are not usually witnessed. How far can this be attributed to the anti-defection law, which was legislated but with a different intention?",Parliament,0.6,0.6,0.6,1.0
Discuss the role of the National Commission for Backward Classes in the wake of its transformation from a statutory body to a constitutional body.,Election Commission,0.8,1.0,0.8,1.0
"The jurisdiction of the Central Bureau of Investigation (CBI) regarding lodging FIR and conducting probe within a particular state is being questioned by various States. However, the power of States to withhold consent to the CBI is not absolute. Explain with special reference to the federal character of India.",Election Commission,0.4,0.6,0.4,1.0
"Though the Human Rights Commissions have contributed immensely to the protection of human rights in India, yet they have failed to assert themselves against the mighty and powerful. Analyzing their structural and practical limitations, suggest remedial measures.",Election Commission,0.8,0.8,0.8,1.0
How have the recommendations of the 14th Finance Commission of India enabled the states to improve their fiscal position?,Finance Commission,0.6,0.8,0.6,1.0
"""The Central Administration Tribunal which was established for redressal of grievances and complaints by or against central government employees, nowadays is exercising its powers as an independent judicial authority."" Explain",Judiciary,0.6,0.8,0.6,1.0
"""The Attorney-General is the chief legal adviser and lawyer of the Government of India."" Discuss.",Election Commission,0.8,0.8,0.8,1.0
"""The Comptroller and Auditor General (CAG) has a very vital role to play."" Explain how this is reflected in the method and terms of his appointment as well as the range of powers he can exercise.",CAG,0.8,1.0,0.8,1.0
"How far do you agree with the view that tribunals curtail the jurisdiction of ordinary courts? In view of the above, discuss the constitutional validity and competency of the tribunals in India.",Election Commission,0.6,0.6,0.6,1.0
Is the National Commission for Women able to strategize and tackle the problems that women face at both public and private spheres? Give reasons in support of your answer.,Election Commission,0.6,0.6,0.6,1.0
Exercise of CAC's powers in relation to the accounts of the Union and the States is derived from Article 149 of the Indian Constitution. Discuss whether audit of the Government's Policy implementation could amount to overstepping its own (CAG) jurisdiction.,CAG,0.4,0.6,0.4,1.0
What is a quasi-judicial body? Explain with the help of concrete examples,Judiciary,0.6,1.0,0.6,1.0
"What are the major changes brought in the Arbitration and Conciliation Act, 1996 through the recent Ordinance promulgated by the President? How far will it improve India's dispute resolution mechanism? Discuss.",President,0.6,0.8,0.6,1.0
"""For achieving the desired objectives, it is necessary to ensure that the regulatory institutions remain independent and autonomous."" Discuss in the light of the experiences in recent past.",Election Commission,0.4,0.4,0.4,1.0
