question,expected_doc,retrieved_docs,hit@10
"""The most significant achievement of modern law in India is the constitutionalization of environmental problems by the Supreme Court."" Discuss this statement with the help of relevant case laws.",GS2_2022_HistoricalUnderpinnings_1,"GS2_2022_HistoricalUnderpinnings_1, ART_133, ART_139A, ART_141, GS2_2017_HistoricalUnderpinnings_13, GS2_2021_HistoricalUnderpinnings_4, GS2_2015_HistoricalUnderpinnings_17, GS2_2020_HistoricalUnderpinnings_7, ART_132, ART_138, ART_211, ART_48A, ART_134, ART_262, ART_137",True
"""Right of movement and residence throughout the territory of India are freely available to the Indian citizens, but these rights are not absolute"". Comment.",GS2_2022_HistoricalUnderpinnings_2,"GS2_2022_HistoricalUnderpinnings_2, ART_19, ART_8, ART_6, ART_29, ART_7, ART_10, ART_13, ART_44, ART_308, GS2_2022_WelfareSchemes_1, ART_5, ART_297",True
Critically examine the procedures through which the presidents of India and France are elected.,GS2_2022_HistoricalUnderpinnings_3,"GS2_2022_HistoricalUnderpinnings_3, GS2_2015_EffectOf_14, ART_52, GS2_2021_ImportantInternational_3, ART_71, ART_54, GS2_2020_ImportantInternational_4, GS2_2013_SocialSector_17, ART_340, ART_55, GS2_2020_SocialSector_5, GS2_2019_HistoricalUnderpinnings_10, GS2_2017_Functions_6, GS2_2014_DevelopmentProcesses_14, ART_63, ART_392, GS2_2016_DevelopmentProcesses_9, GS2_2015_DevelopmentProcesses_11, ART_344",True
'Constitutional Morality' is rooted in the Constitution itself and is founded on its essential facets. Explain the doctrine of 'Constitutional Morality' with the help of relevant judicial decisions.,GS2_2021_HistoricalUnderpinnings_4,"GS2_2021_HistoricalUnderpinnings_4, GS2_2016_AppointmentTo_11, ART_37, ART_26, ART_131, ART_51A, GS2_2019_AppointmentTo_5, GS2_2022_HistoricalUnderpinnings_1, ART_147, ART_137, GS2_2018_AppointmentTo_7, ART_39A, GS2_2021_AppointmentTo_2, GS2_2013_WelfareSchemes_13, ART_133, ART_143, GS2_2021_SocialSector_2, ART_39, ART_145",True
Analyze the distinguishing features of the notion of Equality in the Constitutions of the USA and India.,GS2_2021_HistoricalUnderpinnings_5,"GS2_2021_HistoricalUnderpinnings_5, GS2_2018_HistoricalUnderpinnings_11, ART_14, GS2_2014_Functions_12, ART_39A, GS2_2021_HistoricalUnderpinnings_4, GS2_2017_EffectOf_11, ART_393, GS2_2021_AppointmentTo_3, ART_16, GS2_2022_EffectOf_1, GS2_2019_HistoricalUnderpinnings_10, GS2_2021_EffectOf_3, ART_29, ART_0",True
"Indian constitution exhibits centralizing tendencies to maintain unity and integrity of the nation. Elucidate in the perspective of the Epidemic Diseases Act, 1897; The Disaster Management Act, 2005 and recently passed Farm Acts.",GS2_2020_HistoricalUnderpinnings_6,"GS2_2020_HistoricalUnderpinnings_6, ART_0, ART_51A, ART_243ZR, ART_393, ART_367, ART_395, ART_147, ART_252, ART_43A, GS2_2016_Functions_7, ART_243P, ART_243, ART_31D, ART_46, GS2_2016_ImportantInternational_11, ART_44",True
Which steps are required for constitutionalization of a commission? Do you think imparting constitutionality to the National Commission for Women would ensure greater gender justice and empowerment in India? Give reasons.,GS2_2020_HistoricalUnderpinnings_7,"GS2_2020_HistoricalUnderpinnings_7, GS2_2017_AppointmentTo_9, GS2_2014_AppointmentTo_14, ART_340, GS2_2021_AppointmentTo_3, GS2_2022_AppointmentTo_1, GS2_2022_HistoricalUnderpinnings_1, GS2_2021_WelfareSchemes_3, GS2_2021_AppointmentTo_4, ART_20, GS2_2018_Functions_4, ART_243G, ART_315, ART_323, GS2_2015_AppointmentTo_12, ART_39A, GS2_2018_AppointmentTo_8",True
The judicial systems in India and UK seem to be converging as well as diverging in the recent times. Highlight the key points of convergence and divergence between the two nations in terms of their judicial practices.,GS2_2020_HistoricalUnderpinnings_8,"GS2_2020_HistoricalUnderpinnings_8, GS2_2015_AppointmentTo_12, GS2_2018_AppointmentTo_7, GS2_2018_HistoricalUnderpinnings_11, GS2_2022_HistoricalUnderpinnings_1, GS2_2020_Functions_2, GS2_2019_WelfareSchemes_4, GS2_2021_HistoricalUnderpinnings_5, ART_290, ART_312, ART_222, ART_231, GS2_2015_AppointmentTo_13, GS2_2021_AppointmentTo_3, GS2_2014_Functions_12, GS2_2022_AppointmentTo_1, ART_375, ART_144",True
"""Parliament's power to amend the Constitution is a limited power and it cannot be enlarged into absolute power."" In the light of this statement explain whether Parliament under Article 368 of the Constitution can destroy the Basic Structure of the Constitution by expanding its amending power?",GS2_2019_HistoricalUnderpinnings_9,"GS2_2019_HistoricalUnderpinnings_9, ART_368, ART_239A, ART_252, ART_35, GS2_2021_HistoricalUnderpinnings_4, ART_244A, ART_169, ART_251, GS2_2022_HistoricalUnderpinnings_2, ART_248, GS2_2015_HistoricalUnderpinnings_17, GS2_2021_AppointmentTo_2, ART_247, ART_73, GS2_2017_HistoricalUnderpinnings_13, ART_162, ART_3",True
What can France learn from the Indian Constitution's approach to secularism?,GS2_2019_HistoricalUnderpinnings_10,"GS2_2019_HistoricalUnderpinnings_10, GS2_2022_HistoricalUnderpinnings_3, ART_0, GS2_2021_SocialSector_3, ART_393, GS2_2021_HistoricalUnderpinnings_4, GS2_2015_HistoricalUnderpinnings_17, GS2_2020_HistoricalUnderpinnings_6, GS2_2015_HistoricalUnderpinnings_15, ART_300, ART_51A, ART_25, ART_331, ART_363, GS2_2022_HistoricalUnderpinnings_1, GS2_2022_HistoricalUnderpinnings_2, GS2_2014_Functions_12",True
