doc_id,title,question,reference_answer,generated_answer,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore,retrieval_hit,manual_score
GS2_2022_HistoricalUnderpinnings_1,GS-II 2022 Q1,"""The most significant achievement of modern law in India is the constitutionalization of environmental problems by the Supreme Court."" Discuss this statement with the help of relevant case laws.",,,,,,,,,
GS2_2022_HistoricalUnderpinnings_2,GS-II 2022 Q2,"""Right of movement and residence throughout the territory of India are freely available to the Indian citizens, but these rights are not absolute"". Comment.",,,,,,,,,
GS2_2022_HistoricalUnderpinnings_3,GS-II 2022 Q3,Critically examine the procedures through which the presidents of India and France are elected.,,,,,,,,,
GS2_2021_HistoricalUnderpinnings_4,GS-II 2021 Q4,'Constitutional Morality' is rooted in the Constitution itself and is founded on its essential facets. Explain the doctrine of 'Constitutional Morality' with the help of relevant judicial decisions.,,,,,,,,,
GS2_2021_HistoricalUnderpinnings_5,GS-II 2021 Q5,Analyze the distinguishing features of the notion of Equality in the Constitutions of the USA and India.,,,,,,,,,
GS2_2020_HistoricalUnderpinnings_6,GS-II 2020 Q6,"Indian constitution exhibits centralizing tendencies to maintain unity and integrity of the nation. Elucidate in the perspective of the Epidemic Diseases Act, 1897; The Disaster Management Act, 2005 and recently passed Farm Acts.",,,,,,,,,
GS2_2020_HistoricalUnderpinnings_7,GS-II 2020 Q7,Which steps are required for constitutionalization of a commission? Do you think imparting constitutionality to the National Commission for Women would ensure greater gender justice and empowerment in India? Give reasons.,,,,,,,,,
GS2_2020_HistoricalUnderpinnings_8,GS-II 2020 Q8,The judicial systems in India and UK seem to be converging as well as diverging in the recent times. Highlight the key points of convergence and divergence between the two nations in terms of their judicial practices.,,,,,,,,,
GS2_2019_HistoricalUnderpinnings_9,GS-II 2019 Q9,"""Parliament's power to amend the Constitution is a limited power and it cannot be enlarged into absolute power."" In the light of this statement explain whether Parliament under Article 368 of the Constitution can destroy the Basic Structure of the Constitution by expanding its amending power?",,,,,,,,,
GS2_2019_HistoricalUnderpinnings_10,GS-II 2019 Q10,What can France learn from the Indian Constitution's approach to secularism?,,,,,,,,,
GS2_2018_HistoricalUnderpinnings_11,GS-II 2018 Q11,India and USA are two large democracies. Examine the basic tenants on which the two political systems are based.,,,,,,,,,
GS2_2018_HistoricalUnderpinnings_12,GS-II 2018 Q12,Under what circumstances can the Financial Emergency be proclaimed by the President of India? What consequences follow when such a declaration remains in force?,,,,,,,,,
GS2_2017_HistoricalUnderpinnings_13,GS-II 2017 Q13,Examine the scope of Fundamental Rights in the light of the latest judgement of the Supreme Court on Right to Privacy.,,,,,,,,,
GS2_2016_HistoricalUnderpinnings_14,GS-II 2016 Q14,Discuss each adjective attached to the word 'Republic' in the preamble. Are they defendable in the present circumstance's stances?,,,,,,,,,
GS2_2015_HistoricalUnderpinnings_15,GS-II 2015 Q15,Discuss the possible factors that inhibit India from enacting for its citizens a uniform civil code as provided for in the Directive Principles of State Policy.,,,,,,,,,
GS2_2015_HistoricalUnderpinnings_16,GS-II 2015 Q16,"Khap Panchayats have been in the news for functioning as extra-constitutional authorities, often delivering pronouncements amounting to human rights violations. Discuss critically the actions taken by the legislative, executive and the judiciary to set the things right in this regard.",,,,,,,,,
GS2_2015_HistoricalUnderpinnings_17,GS-II 2015 Q17,Does the right to clean environment entail legal regulations on burning crackers during Diwali? Discuss in the light of Article 21 of the Indian Constitution and Judgement(s) of the Apex Court in this regard.,,,,,,,,,
GS2_2014_HistoricalUnderpinnings_18,GS-II 2014 Q18,"What do you understand by the concept ""freedom of speech and expression""? Does it cover hate speech also? Why do the films in India stand on a slightly different plane from other forms of expression? Discuss.",,,,,,,,,
GS2_2013_HistoricalUnderpinnings_19,GS-II 2013 Q19,"Discuss Section 66A of IT Act, with reference to its alleged violation of Article 19 of the Constitution.",,,,,,,,,
GS2_2022_Executive_1,GS-II 2022 Q1,Discuss the role of the Vice –Presidents of India as the chairman of the Rajyasabha.,,,,,,,,,
GS2_2022_Executive_2,GS-II 2022 Q2,Discuss the essential conditions for the exercise of the legislative powers by the Governor. Discuss the legality of re-promulgation of ordinances by the Governor without placing them before the Legislature.,,,,,,,,,
GS2_2014_Executive_3,GS-II 2014 Q3,Instances of President's delay in commuting death sentences has come under public debate as denial of justice. Should there be a time limit specified for the President to accept/reject such petitions? Analyse.,,,,,,,,,
GS2_2014_Executive_4,GS-II 2014 Q4,The size of the cabinet should be as big as governmental work justifies and as big as the Prime Minister can manage as a team. How far the efficacy of a government then is inversely related to the size of the cabinet? Discuss.,,,,,,,,,
GS2_2022_UnionAnd_1,GS-II 2022 Q1,"Discuss the procedures to decide the disputes arising out of the election of a Member of the Parliament or State Legislature under The Representation of the People Act, 1951. What are the grounds on which the election of any returned candidate may be declared void? What remedy is available to the aggrieved party against the decision? Refer to the case laws.",,,,,,,,,
GS2_2022_UnionAnd_2,GS-II 2022 Q2,"""While the national political parties in India favour centralisation, the regional parties are in favour of state autonomy."" Comment.",,,,,,,,,
GS2_2022_UnionAnd_3,GS-II 2022 Q3,Discuss the role of the Election Commission of India in light of the evolution of the Model Code of Conduct.,,,,,,,,,
GS2_2021_UnionAnd_4,GS-II 2021 Q4,"To what extent, in your view, the Parliament is able to ensure accountability of the executive in India?",,,,,,,,,
GS2_2021_UnionAnd_5,GS-II 2021 Q5,Explain the constitutional provisions under which Legislative Councils are established. Review the working and current status of Legislative Councils with suitable illustrations.,,,,,,,,,
GS2_2021_UnionAnd_6,GS-II 2021 Q6,Do Department-related Parliamentary Standing Committees keep the administration on its toes and inspire reverence for parliamentary control? Evaluate the working of such committees with suitable examples.,,,,,,,,,
GS2_2020_UnionAnd_7,GS-II 2020 Q7,Rajya Sabha has been transformed from a 'useless stepney tyre' to the most useful supporting organ in past few decades. Highlight the factors as well as the areas in which this transformation could be visible.,,,,,,,,,
GS2_2020_UnionAnd_8,GS-II 2020 Q8,"""Once a speaker, Always a speaker'! Do you think the practice should be adopted to impart objectivity to the office of the Speaker of Lok Sabha? What could be its implications for the robust functioning of parliamentary business in India.",,,,,,,,,
GS2_2020_UnionAnd_9,GS-II 2020 Q9,"""There is a need for simplification of procedure for disqualification of persons found guilty of corrupt practices under the Representation of peoples Act"" Comment",,,,,,,,,
GS2_2019_UnionAnd_10,GS-II 2019 Q10,"Individual Parliamentarian's role as the national lawmaker is on a decline, which in turn, has adversely impacted the quality of debates and their outcome. Discuss.",,,,,,,,,
GS2_2019_UnionAnd_11,GS-II 2019 Q11,"On what grounds a people's representative can be disqualified under the Representation of People Act, 1951? Also mention the remedies available to such person against his disqualification.",,,,,,,,,
GS2_2018_UnionAnd_12,GS-II 2018 Q12,"Why do you think the committees are considered to be useful for parliamentary work? Discuss, in this context, the role or the Estimates Committee.",,,,,,,,,
GS2_2018_UnionAnd_13,GS-II 2018 Q13,"In the light of recent controversy regarding the use of Electronic Voting Machines (EVM), what are the challenges before the Election Commission of India to ensure the trustworthiness of elections in India?",,,,,,,,,
GS2_2017_UnionAnd_14,GS-II 2017 Q14,'Simultaneous election to the Lok Sabha and the State Assemblies will limit the amount of time and money spent in electioneering but it will reduce the government's accountability to the people' Discuss.,,,,,,,,,
GS2_2017_UnionAnd_15,GS-II 2017 Q15,To enhance the quality of democracy in India the Election Commission of India has proposed electoral reforms in 2016. What are the suggested reforms and how far are they significant to make democracy successful?,,,,,,,,,
GS2_2017_UnionAnd_16,GS-II 2017 Q16,"The Indian Constitution has provisions for holding joint session of the two houses of the Parliament. Enumerate the occasions when this would normally happen and also the occasions when it cannot, with reasons thereof.",,,,,,,,,
GS2_2016_UnionAnd_17,GS-II 2016 Q17,"The Indian party system is passing through a phase of transition which looks to be full of contradictions and paradoxes."" Discuss.",,,,,,,,,
GS2_2014_UnionAnd_18,GS-II 2014 Q18,"The 'Powers, Privileges and Immunities of Parliament and its Members' as envisaged in Article 105 of the Constitution leave room for a large number of un-codified and un-enumerated privileges to continue. Assess the reasons for the absence of legal codification of the 'parliamentary privileges. How can this problem be addressed?",,,,,,,,,
GS2_2013_UnionAnd_19,GS-II 2013 Q19,"The role of individual MPs (Members of Parliament) has diminished over the years and as a result healthy constructive debates on policy issues are not usually witnessed. How far can this be attributed to the anti-defection law, which was legislated but with a different intention?",,,,,,,,,
GS2_2022_Functions_1,GS-II 2022 Q1,"To what extent, in your opinion, as the decentralization of power in India changed the governance landscape at the grassroots?",,,,,,,,,
