question,topic,knowledge_topic,relevant_doc_ids
Discuss the role of the Vice –Presidents of India as the chairman of the Rajyasabha.,"EXECUTIVE (STRUCTURE, ORGANIZATION, FUNCTIONING); MINISTRIES AND DEPARTMENTS (OF UNION AND STATE GOVTS.)",President,GS2_2022_Executive_1;ART_64;ART_89;ART_63;ART_92;ART_66;ART_91
Discuss the essential conditions for the exercise of the legislative powers by the Governor. Discuss the legality of re-promulgation of ordinances by the Governor without placing them before the Legislature.,"EXECUTIVE (STRUCTURE, ORGANIZATION, FUNCTIONING); MINISTRIES AND DEPARTMENTS (OF UNION AND STATE GOVTS.)",Governor,GS2_2022_Executive_2;ART_213;ART_239B;GS2_2015_AppointmentTo_12;ART_175;GS2_2016_Functions_7;ART_211
Instances of President's delay in commuting death sentences has come under public debate as denial of justice. Should there be a time limit specified for the President to accept/reject such petitions? Analyse.,"EXECUTIVE (STRUCTURE, ORGANIZATION, FUNCTIONING); MINISTRIES AND DEPARTMENTS (OF UNION AND STATE GOVTS.)",President,GS2_2014_Executive_3;ART_72;ART_134;ART_121;ART_161;ART_61;ART_323;ART_224
The size of the cabinet should be as big as governmental work justifies and as big as the Prime Minister can manage as a team. How far the efficacy of a government then is inversely related to the size of the cabinet? Discuss.,"EXECUTIVE (STRUCTURE, ORGANIZATION, FUNCTIONING); MINISTRIES AND DEPARTMENTS (OF UNION AND STATE GOVTS.)",Prime Minister,GS2_2014_Executive_4;NOTE_003;ART_75;NOTE_004;GS2_2013_Functions_14;ART_78;ART_331
"Discuss the procedures to decide the disputes arising out of the election of a Member of the Parliament or State Legislature under The Representation of the People Act, 1951. What are the grounds on which the election of any returned candidate may be declared void? What remedy is available to the aggrieved party against the decision? Refer to the case laws.","UNION AND STATE LEGISLATURES (STRUCTURE, FUNCTIONING, CONDUCT OF BUSINESS, POWERS & PRIVILEGES; ISSUES THEREIN); SALIENT FEATURES OF THE REPRESENTATION OF PEOPLE'S ACT.",Parliament,GS2_2022_UnionAnd_1;GS2_2019_UnionAnd_11;ART_71;ART_192;ART_243F;GS2_2013_UnionAnd_19
"""While the national political parties in India favour centralisation, the regional parties are in favour of state autonomy."" Comment.","UNION AND STATE LEGISLATURES (STRUCTURE, FUNCTIONING, CONDUCT OF BUSINESS, POWERS & PRIVILEGES; ISSUES THEREIN); SALIENT FEATURES OF THE REPRESENTATION OF PEOPLE'S ACT.",Parliament,GS2_2022_UnionAnd_2;ART_132;GS2_2013_Functions_14;GS2_2014_Functions_12;ART_226;ART_243P;ART_361B;ART_300;ART_244A
Discuss the role of the Election Commission of India in light of the evolution of the Model Code of Conduct.,"UNION AND STATE LEGISLATURES (STRUCTURE, FUNCTIONING, CONDUCT OF BUSINESS, POWERS & PRIVILEGES; ISSUES THEREIN); SALIENT FEATURES OF THE REPRESENTATION OF PEOPLE'S ACT.",Election Commission,GS2_2022_UnionAnd_3;NOTE_019;GS2_2018_UnionAnd_13;GS2_2021_DevelopmentProcesses_2;GS2_2017_DevelopmentProcesses_6;GS2_2014_DevelopmentProcesses_14;GS2_2015_HistoricalUnderpinnings_15
"To what extent, in your view, the Parliament is able to ensure accountability of the executive in India?","UNION AND STATE LEGISLATURES (STRUCTURE, FUNCTIONING, CONDUCT OF BUSINESS, POWERS & PRIVILEGES; ISSUES THEREIN); SALIENT FEATURES OF THE REPRESENTATION OF PEOPLE'S ACT.",Parliament,GS2_2021_UnionAnd_4;ART_256;ART_245;ART_162;NOTE_013;NOTE_005;ART_73;ART_250
Explain the constitutional provisions under which Legislative Councils are established. Review the working and current status of Legislative Councils with suitable illustrations.,"UNION AND STATE LEGISLATURES (STRUCTURE, FUNCTIONING, CONDUCT OF BUSINESS, POWERS & PRIVILEGES; ISSUES THEREIN); SALIENT FEATURES OF THE REPRESENTATION OF PEOPLE'S ACT.",Parliament,GS2_2021_UnionAnd_5;ART_43A;ART_169;ART_171;NOTE_007;ART_327;ART_198;ART_197;ART_188
Do Department-related Parliamentary Standing Committees keep the administration on its toes and inspire reverence for parliamentary control? Evaluate the working of such committees with suitable examples.,"UNION AND STATE LEGISLATURES (STRUCTURE, FUNCTIONING, CONDUCT OF BUSINESS, POWERS & PRIVILEGES; ISSUES THEREIN); SALIENT FEATURES OF THE REPRESENTATION OF PEOPLE'S ACT.",Parliament,GS2_2021_UnionAnd_6;GS2_2018_UnionAnd_12;NOTE_005;GS2_2021_UnionAnd_4;ART_105;ART_98;ART_194;GS2_2013_UnionAnd_19
